date_group,time_group,지점,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
15일,05시,184,16.273333333333333,0.0,205.73166666666674,2.613333333333334,1024.1983333333333,1026.6983333333333,58.458333333333336,0.0,0.0
15일,06시,184,15.526666666666673,0.0,201.93499999999995,1.7066666666666663,1024.1416666666657,1026.6416666666657,64.25333333333336,0.001,0.0
15일,07시,184,15.66666666666666,0.0,185.25666666666655,1.5616666666666668,1024.308333333334,1026.808333333334,65.65,0.069,0.0
15일,08시,184,16.953333333333333,0.0,172.50833333333327,1.5716666666666665,1024.8566666666677,1027.3566666666677,63.89166666666668,0.2851666666666666,0.0
15일,09시,184,17.70166666666667,0.0,140.87333333333333,1.4849999999999999,1025.0283333333325,1027.5283333333325,62.135000000000005,0.7068333333333334,0.0
15일,10시,184,17.95333333333332,0.0,31.685,3.1300000000000003,1025.123333333332,1027.623333333332,63.91333333333334,1.3968333333333336,0.0
15일,11시,184,18.026666666666664,0.0,88.265,1.6249999999999998,1024.8349999999996,1027.3349999999996,65.62000000000002,2.042333333333333,0.0
15일,12시,184,17.721666666666657,0.16000000000000003,101.54333333333334,1.5433333333333332,1024.4883333333332,1026.9883333333332,74.02000000000001,2.4593333333333334,1.2
15일,13시,184,17.428333333333335,0.6150000000000007,248.2933333333332,1.6950000000000007,1023.6733333333337,1026.1733333333336,83.99000000000001,3.133333333333334,141.6
15일,14시,184,17.27500000000001,1.038333333333333,225.5583333333333,0.8750000000000004,1023.0416666666665,1025.5416666666665,87.73833333333333,3.491833333333333,144.0
15일,15시,184,18.542372881355924,1.7677966101694895,118.18305084745761,2.433898305084745,1022.9203389830514,1025.4135593220346,82.25593220338983,3.7323728813559325,144.0
15일,16시,184,18.673333333333343,1.853333333333335,89.54166666666666,2.9883333333333324,1022.9433333333338,1025.4433333333338,79.71333333333335,3.8639999999999977,144.0
15일,17시,184,18.628333333333337,1.900000000000002,96.59000000000005,2.578333333333333,1023.0099999999992,1025.5099999999993,78.56166666666667,3.923500000000004,144.0
15일,18시,184,18.30666666666667,2.101666666666667,105.15666666666667,2.138333333333333,1023.3716666666672,1025.8716666666671,79.62666666666662,3.930000000000005,144.0
15일,19시,184,17.904999999999987,2.5716666666666645,97.51833333333333,2.438333333333333,1023.6599999999997,1026.1599999999996,81.55499999999999,3.930000000000005,144.0
15일,20시,184,17.863333333333312,3.0633333333333295,132.42333333333335,2.1116666666666672,1023.9199999999995,1026.4199999999994,79.56833333333333,3.930000000000005,144.0
15일,21시,184,17.789999999999996,3.199999999999997,135.07833333333332,1.675,1024.1883333333328,1026.6883333333328,78.41833333333335,3.930000000000005,144.0
15일,22시,184,17.661666666666672,3.199999999999997,142.86333333333334,1.6750000000000005,1024.4533333333334,1026.9533333333334,75.895,3.930000000000005,144.0
16일,05시,184,16.398333333333323,0.0,123.82333333333335,2.0933333333333337,1023.5183333333324,1026.0183333333325,74.675,0.0,0.0
16일,06시,184,16.188333333333343,0.0,126.04666666666668,1.9700000000000002,1023.6633333333326,1026.1633333333327,74.37666666666668,0.0003333333333333333,0.0
16일,07시,184,16.246666666666673,0.0,123.36666666666669,2.115,1023.810000000001,1026.310000000001,72.93833333333332,0.09416666666666669,79.8
16일,08시,184,18.005000000000003,0.0,112.62666666666662,2.055,1024.0466666666657,1026.5466666666657,65.66833333333334,0.6281666666666667,1098.0
16일,09시,184,19.365,0.0,62.21000000000001,3.4966666666666666,1024.3000000000013,1026.7499999999998,56.484999999999985,1.479,1840.8
16일,10시,184,19.928333333333338,0.0,56.345,3.7083333333333326,1024.315000000001,1026.7616666666677,53.30166666666666,2.8230000000000004,3010.2
16일,11시,184,20.57666666666666,0.0,57.29666666666667,3.7433333333333327,1024.1183333333336,1026.605,50.434999999999995,4.863666666666666,5527.8
16일,12시,184,20.765,0.0,53.23166666666667,3.8066666666666666,1023.1816666666668,1025.6333333333332,48.97166666666668,7.533,9021.6
16일,13시,184,20.613333333333337,0.0,52.99000000000001,3.7266666666666666,1022.2099999999997,1024.6583333333333,48.25666666666668,10.223666666666668,12618.0
16일,14시,184,20.37999999999999,0.0,46.88833333333333,3.513333333333334,1021.9750000000005,1024.4366666666674,49.16333333333334,12.644666666666668,16218.0
16일,15시,184,19.924999999999997,0.0,41.80166666666666,3.9066666666666667,1021.7616666666668,1024.194999999999,50.49666666666668,14.566166666666666,19818.0
16일,16시,184,19.578333333333337,0.0,52.75666666666667,3.363333333333334,1021.8583333333337,1024.258333333334,50.66833333333332,15.833166666666667,23418.0
16일,17시,184,18.971666666666657,0.0,87.35499999999998,1.6933333333333331,1021.8766666666667,1024.3249999999998,49.92166666666667,16.37916666666667,26881.8
16일,18시,184,18.308333333333334,0.0,156.12500000000003,1.5566666666666669,1022.0449999999997,1024.5449999999996,52.43833333333334,16.440000000000026,27828.0
16일,19시,184,17.413333333333334,0.0,175.33333333333331,1.2016666666666669,1022.2100000000011,1024.710000000001,56.533333333333346,16.440000000000026,27828.0
16일,20시,184,17.11,0.0,172.25166666666664,1.2899999999999998,1022.3166666666675,1024.8166666666677,57.52000000000001,16.440000000000026,27828.0
16일,21시,184,16.86833333333333,0.0,190.58333333333331,0.9283333333333336,1022.2666666666668,1024.7666666666669,61.638333333333335,16.440000000000026,27828.0
16일,22시,184,16.315000000000005,0.0,181.27166666666668,1.4233333333333336,1022.1016666666667,1024.6016666666667,66.84333333333333,16.440000000000026,27828.0
